 2016-05-01 21:00:47,250 [P3692/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on DESKTOP-JK1B529
 2016-05-01 21:00:47,430 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-05-01 21:00:47,456 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 22ms)
 2016-05-01 21:00:47,626 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-05-01 21:00:48,525 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 899ms)
 2016-05-01 21:00:48,579 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-05-01 21:00:48,602 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 22ms)
 2016-05-01 21:00:48,603 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-05-01 21:00:48,622 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 19ms)
 2016-05-01 21:00:48,652 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-05-01 21:00:48,670 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 18ms)
 2016-05-01 21:00:48,671 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-05-01 21:00:48,691 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 19ms)
 2016-05-01 21:00:48,823 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-05-01 21:00:48,844 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 20ms)
 2016-05-01 21:00:48,845 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-05-01 21:00:48,867 [P3692/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 21ms)
 2016-05-01 21:00:51,022 [P3692/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:00:51,780 [P3692/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:00:51,803 [P3692/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-05-01 21:00:51,823 [P3692/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-05-01 21:00:51,923 [P3692/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-05-01 21:00:52,016 [P3692/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-05-01 21:00:52,025 [P3692/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-05-01 21:00:52,936 [P3692/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-05-01 21:00:52,966 [P3692/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-05-01 21:00:52,967 [P3692/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-05-01 21:00:53,019 [P3692/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 5984ms)
 2016-05-01 21:00:56,374 [P3692/D2/T12] INFO  umbraco.content - Save Xml to file...
 2016-05-01 21:00:56,387 [P3692/D2/T6] INFO  umbraco.content - Saved Xml to file.
 2016-05-01 21:00:56,862 [P3692/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:21965/umbraco (UmbracoModule request)
 2016-05-01 21:00:57,414 [P3692/D2/T9] WARN  Umbraco.Web.UmbracoModule - Umbraco has no content
 2016-05-01 21:01:25,204 [P3692/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-05-01 21:01:25,243 [P3692/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 38ms)
 2016-05-01 21:01:44,079 [P3692/D2/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-05-01 21:01:44,123 [P3692/D2/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 43ms)
 2016-05-01 21:01:44,682 [P3692/D2/T20] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username Denford from IP address ::1
 2016-05-01 21:01:44,684 [P3692/D2/T20] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: Denford logged in from IP address ::1
 2016-05-01 21:01:45,089 [P3692/D2/T20] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:01:45,120 [P3692/D2/T20] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 30ms)
 2016-05-01 21:01:46,330 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-05-01 21:01:46,362 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 32ms)
 2016-05-01 21:01:46,887 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:01:46,887 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-05-01 21:01:46,890 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-05-01 21:01:46,914 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 24ms)
 2016-05-01 21:01:47,145 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-05-01 21:01:47,173 [P3692/D2/T23] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 28ms)
 2016-05-01 21:02:24,921 [P3692/D2/T19] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-04-30 21:02:24
 2016-05-01 21:26:09,680 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-05-01 21:26:09,680 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-05-01 21:26:43,138 [P3692/D2/T127] WARN  Umbraco.Core.Services.PackagingService - Packager: Error handling creation of PropertyType 'Page Icon'. Could not find DataTypeDefintion with unique id '5dfdaed3-28a4-47ce-893b-8c25dfc497b5' nor one referencing the DataType with a property editor alias (or legacy control id) 'FontAwesomeIconsDD'. Did the package creator forget to package up custom datatypes? This property will be converted to a label/readonly editor if one exists.
 2016-05-01 21:26:43,482 [P3692/D2/T127] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
